country_name,region_name,harvest_period,growing_season_year,date_on,climate_risk_cnt_locations_heat_stress_risk_low,climate_risk_cnt_locations_heat_stress_risk_medium,climate_risk_cnt_locations_heat_stress_risk_high,climate_risk_cnt_locations_unseasonably_cold_risk_low,climate_risk_cnt_locations_unseasonably_cold_risk_medium,climate_risk_cnt_locations_unseasonably_cold_risk_high,climate_risk_cnt_locations_excess_precip_risk_low,climate_risk_cnt_locations_excess_precip_risk_medium,climate_risk_cnt_locations_excess_precip_risk_high,climate_risk_cnt_locations_drought_risk_low,climate_risk_cnt_locations_drought_risk_medium,climate_risk_cnt_locations_drought_risk_high,futures_close_ZC_1,futures_close_ZC_2,futures_close_ZW_1,futures_close_ZS_1,futures_zc1_ret_pct,futures_zc1_ret_log,futures_zc_term_spread,futures_zc_term_ratio,futures_zc1_ma_20,futures_zc1_ma_60,futures_zc1_ma_120,futures_zc1_vol_20,futures_zc1_vol_60,futures_zw_zc_spread,futures_zc_zw_ratio,futures_zs_zc_spread,futures_zc_zs_ratio,date_on_year,date_on_month,date_on_year_month,hemisphere,koppen,categorical_harvest_period
United States,Nebraska,Off-season,2016,2016-01-01,29,0,0,25,4,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-02,29,0,0,1,0,28,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-03,29,0,0,0,0,29,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-04,29,0,0,1,0,28,29,0,0,29,0,0,351.5,357.5,458.25,864.5,-0.0202090592334495,-0.0204160558231114,6.0,1.0170697012802277,368.625,371.02916666666664,374.69375,0.0118642181054814,0.0111719360839014,106.75,0.7670485542825969,513.0,0.4065934065934066,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-05,29,0,0,29,0,0,29,0,0,28,1,0,353.0,358.5,461.25,867.75,0.0042674253200569,0.0042583456825768,5.5,1.0155807365439091,367.4625,370.39166666666665,374.05625,0.011150995188736,0.0111298809308024,108.25,0.7653116531165312,514.75,0.4067991933160472,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-06,29,0,0,26,2,1,29,0,0,29,0,0,353.25,358.5,462.75,875.75,0.0007082152974504,0.0007079646313403,5.25,1.0148619957537155,366.7,369.9,373.4166666666667,0.0103853060966339,0.0108165234397741,109.5,0.7633711507293355,522.5,0.4033685412503568,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-07,29,0,0,0,19,10,29,0,0,29,0,0,353.0,358.5,468.5,877.0,-0.0007077140835102,-0.0007079646313403,5.5,1.0155807365439091,365.85,369.4375,372.85625,0.0102913961028843,0.0108042985041378,115.5,0.7534685165421559,524.0,0.4025085518814139,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-08,29,0,0,0,8,21,24,1,4,29,0,0,357.0,362.75,478.5,879.5,0.0113314447592067,0.0112677248463421,5.75,1.0161064425770308,365.1125,368.9791666666667,372.45625,0.0106290189767369,0.0108316612510428,121.5,0.7460815047021944,522.5,0.4059124502558272,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-09,29,0,0,2,7,20,24,0,5,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-10,29,0,0,2,2,25,23,2,4,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-11,29,0,0,21,8,0,24,0,5,29,0,0,351.75,357.5,469.0,881.0,-0.0147058823529411,-0.0148150857851403,5.75,1.0163468372423596,363.8375,368.525,372.0,0.0102193352782066,0.0108400305355983,117.25,0.75,529.25,0.3992622020431328,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-12,29,0,0,15,13,1,24,3,2,29,0,0,356.75,362.25,481.25,890.75,0.0142146410803127,0.0141145603624472,5.5,1.01541695865452,363.025,368.2125,371.6166666666667,0.0107664732977871,0.0109668605340598,124.5,0.7412987012987013,534.0,0.4005051922537188,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-13,29,0,0,29,0,0,25,4,0,29,0,0,358.0,363.0,478.0,899.0,0.0035038542396637,0.0034977300437546,5.0,1.0139664804469273,361.975,367.9,371.2395833333333,0.0099827173649586,0.0109679985792948,120.0,0.7489539748953975,541.0,0.3982202447163515,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-14,29,0,0,29,0,0,29,0,0,27,2,0,358.0,362.75,468.75,882.25,0.0,0.0,4.75,1.013268156424581,361.0125,367.65,370.95208333333335,0.0099918287969469,0.0109021441433702,110.75,0.7637333333333334,524.25,0.4057806744120147,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-15,29,0,0,29,0,0,29,0,0,28,1,0,363.25,367.5,473.75,879.0,0.0146648044692736,0.0145583160496922,4.25,1.0116999311768755,360.6875,367.425,370.87083333333334,0.009825976411687,0.0109945606275947,110.5,0.766754617414248,515.75,0.4132536973833902,2016,1,2016_01,N_2,Dfa,0
